Title,Description,Price,Raiting,Image
"Casafina Ceramic Terracotta 7"" Olive Dish","Alentejo Collection, Olive | Microwave & Dishwasher Safe Dinnerware | Food Safe Glazing | Restaurant Quality",35,4.8,https://m.media-amazon.com/images/I/61JvkvCLnxL._AC_SL1500_.jpg
S&Q'S CERAMICS S&Q Ceramic Dinner Plates Set of 6,"10.5 inch Ceramic Stoneware Dinnerware Serving Dishes for Kitchen, Microwave and Dishwasher Safe, Scratch Resistant (Dark Blue) ",38.98,4.6,https://m.media-amazon.com/images/I/91ZdiYdIDzL._AC_SL1500_.jpg
Zanzibar Collection Pasta Bowl Sets,"Set of 4, Spanish Floral Design, Multicolor Blue       ",25.97,4.8,https://m.media-amazon.com/images/I/81t0XZH0CmL._AC_SL1500_.jpg
Casafina Ceramic Stoneware 5-Piece Place Setting,"Service for 1 - Taormina Collection, Aqua | Microwave & Dishwasher Safe  Dinnerware Set | Food Safe Glazing | Restaurant Quality Tableware       ",129.95,4,https://m.media-amazon.com/images/I/61ceiF4gdtL._AC_SL1500_.jpg
BRILLIANT Ceramic Stoneware Dinner Plates ,"Set of 4, Raised Rim Portuguese Ceramic Plates, Modern Simple Artisan  Ceramics Design Freezer Oven Microwave Safe (White Matt, 8.6"" Dinner  Plate)       ",39.95,4.6,https://m.media-amazon.com/images/I/71xjz7YXDzL._AC_SL1500_.jpg
Ceramica Edgar Picas Traditional Portuguese Clay Terracotta Sausage Roaster (N. 2 Medium)       ,"To roast a sausage simply pour alcohol into the Sausage Roaster. The more alcohol in the roaster, the longer the flame will last. Traditionally, the sausage is left whole but with slices about one inch apart along the top. Ignite the alcohol using a match or lighter. Rotate the sausage every minute until desired crispiness is achieved. Then, serve!  ",38.95,4.6,https://m.media-amazon.com/images/I/61v28YIr0YL._AC_SL1000_.jpg
Ceramica Edgar Picas Traditional Portuguese Hand-painted Vintage Clay Terracotta Serving Platter,"Ceramica Edgar Picas Traditional Portuguese Hand-painted Vintage Clay Terracotta Serving Platter is hand painted and made with Terracotta a type of earthenware, a clay-based unglazed or glazed ceramic, where the fired body is porous.",44.95,5,https://m.media-amazon.com/images/I/61OBgNjva+L._AC_SL1000_.jpg
Castle Arch Pottery Ceramic Oilean Mug,Handmade Pottery Tea Coffee Cup Stoneware Kithen Breakfast Item Birthday Housewarming Gift Kitchenware Present,50.99,4.4,https://m.media-amazon.com/images/I/511Zu9hbFdL._AC_SL1131_.jpg
Serving Plate Ladeira Regional - Set of 2,Ceramica Edgar Picas Portuguese Hand Painted Deep Terracotta Clay,57.95,4.5,https://m.media-amazon.com/images/I/61z73L0zeeL._AC_SL1000_.jpg
"Castle Arch Pottery Newgrange Bowl Hand-Glazed, Handmade","With Ancient Celtic Symbol, Irish Gifts 10x3.14 Inches 1000 ML (Large)       ",74.95,4.9,https://m.media-amazon.com/images/I/71yiwue8RQL._AC_SL1500_.jpg
"RAAQUU Hana O Mini Vase 3.5"" Raku Ceramic Fired Pottery",Handmade Home Décor Gift in Carbon Half Copper Matte,29.99,4.7,https://m.media-amazon.com/images/I/817rjOTCtyL._AC_SL1500_.jpg
Vintage Portuguese Traditional Clay Terracotta Pottery Roaster Cazuela,Made in Portugal (N.5 19 3/8 x 12 3/4 x 4 Inches)       ,67.95,4.5,https://m.media-amazon.com/images/I/71EywcDqFkL._AC_SL1500_.jpg
Hakan Anadolu Natural Clay Water Pitcher Set,Unglazed Terracotta Water Carafe & Plate | Traditional Small Mud Jug | Pottery Jar for Drinking Water | Small | 1.6 qts       ,37.99,4.4,https://m.media-amazon.com/images/I/41c9xq+eIAL._AC_SL1200_.jpg
Ceramica Edgar Picas Portuguese Pottery Glazed Terracotta Hand Painted Wine,Regional Pitcher (N5. 16.5 Cups - 3.9 Lts.)       ,61.95,5,https://m.media-amazon.com/images/I/71YapUCRujL._AC_SL1000_.jpg
GUTE Deruta Italy Raffaellesco Coffee Jar,"Handcrafted & Handpainted Italian Ceramics | Authentic Italian Pottery Handmade in Deruta, Italy       ",54,3.6,https://m.media-amazon.com/images/I/61oakT1q1EL._AC_SL1500_.jpg
